guid,date,title,desc,duration,category
22586217,2026-02-20,7.10am It Says In The Papers,Presented by Pauric Lodge.,185,It Says in Papers
22586218,2026-02-20,Chairperson of Temple Bar group calls for more gardaí in area,"Stephen Kennedy, Chair of the Aston Quay and Temple Bar Business and Residents Alliance, reacts to the latest attack in Temple Bar which left a man in critical condition.",279,Crime / Justice
22586219,2026-02-20,"'Hallmarks of genocide' evident in Darfur, Sudan","Mona Rishmawi, Expert Member of the Fact-Finding Mission, outlines the findings of a new UN report which found the hallmarks of genocide being perpetrated in the Darfur region of Sudan.",463,International
22586220,2026-02-20,Ireland as a film location,"Andrew Lowth, Reporter, reveals what goes into finding an appropriate film location in Ireland.",346,Arts / Culture
22586221,2026-02-20,7.35am Sports News,Presented by Des Cahill.,387,Sports
22586222,2026-02-20,Dublin International Film Festival showcases health of Irish film,"David McLoughlin, co-founder of Dublin International Film Festival and co-CEO of Metropolitan Film International, Elaine Gill, tax consultant and advisor to the Irish film industry for over 25 years, and Ania Trzebiatowska, film producer and programmer for the Sundance Film Festival discuss the health of the film industry in Ireland.",564,Arts / Culture
22586223,2026-02-20,7.50am Business News,Presented by Tania Reut.,252,Business
22586224,2026-02-20,Weather Forecast,Presented by Ailís Hankinson.,123,Weather
22586225,2026-02-20,8am News Bulletin,Presented by Susan Jackson.,381,News Bulletin
22586226,2026-02-20,8.10am It Says In The Papers,Presented by Pauric Lodge.,217,It Says in Papers
22586227,2026-02-20,"'No point' in giving SNA review completion date, says Moynihan","Michael Moynihan, Minister of State at the Department of Education and Fianna Fáil TD for Cork North West, on the Government's pause of a review in SNA allocations for schools.",491,Health / HSE
22586228,2026-02-20,Searches continue after Andrew's release from custody,"Danny Shaw, British public affairs commentator, discusses the fallout of the arrest of Andrew Mountbatten-Windsor.",274,Other
22586229,2026-02-20,Farmers warn of slurry storage issues after wet weather,"Aengus Cox, Agriculture Correspondent, visits a farm in Gorey, Wexford to see how farmers are coping with the impact of all the recent wet weather.",290,Agriculture
22586230,2026-02-20,8.35am Sports News,Presented by Des Cahill.,505,Sports
22586231,2026-02-20,"""We are a nation of storytellers"" - Panel discuss Irish film industry","Ellius Grace, Dublin-based director, writer and photographer, discusses A Song, which is screening at the Dublin International Film Festival. Clare Stronge, Emmy and IFTA winning documentary filmmaker discusses her latest work which was shot in the Beara peninsula. Jade Jordan, actor, appears in four films in the festival.",656,Arts / Culture
22586232,2026-02-20,Why is the world fascinated by Punch the Japanese Macaque?,"Gerry Creighton, former Operations Manager at Dublin Zoo. discusses Punch the Japanese Macaque, an orphaned baby monkey in Ichikawa City Zoo who only had one friend - an orange orangutan plushie.",281,Other
22585864,2026-02-19,7.10am It Says In The Papers,Presented by Pauric Lodge.,189,It Says in Papers
22585865,2026-02-19,Trump kicks off his 'Board of Peace' with eye on Gaza and beyond,"Sean Whelan, Washington Correspondent, reports ahead of the inaugural meeting of US President Donald Trump's Board of Peace.",518,International
22585866,2026-02-19,North Kerry CAMHS review found potential risk of harm in 209 cases,"Dr Louise Rooney, Policy & Research Manager for Mental Health Reform, outlines reforms to governance and oversight structures required in light of the report into North Kerry Child and Adolescent Mental Health Services.",351,Health / HSE
22585867,2026-02-19,Increase in horse manure dumping in Liberties area of Dublin,"Samantha Libreri, Eastern Correspondent, reports on the dumping of horse manure in the Liberties area of Dublin since Dublin City Council stopped taking the product at its waste facilities last year.",278,Other
22585868,2026-02-19,7.35am Sports News,Presented by Des Cahill.,227,Sports
22585869,2026-02-19,CCPC calls for taxi market to be opened to ride-hailing platforms,"Brian McHugh, Chairperson, Competition and Consumer Protection Commission, explains the CCPC's call for the Irish taxi market to be opened up to ride-hailing platforms.",429,Other
22585870,2026-02-19,Bid to encourage protection for hedgehogs as numbers plummet,"Elaine O'Riordan, University of Galway’s School of Natural Sciences, on the launch of a ""Save the hedgehogs"" campaign.",259,Science / Nature
22585871,2026-02-19,7.50am Business News,Presented by Gail Conway.,257,Business
22585872,2026-02-19,Weather Forecast,Presented by Holly O'Neill.,109,Weather
22585873,2026-02-19,8am News Bulletin,Presented by Vivienne Traynor.,336,News Bulletin
22585874,2026-02-19,8.10am It Says In The Papers,Presented by Pauric Lodge.,217,It Says in Papers
22585875,2026-02-19,No consultant child psychiatrist working full-time in Kerry - HSE,"Dr. Amanda Burke, National Clinical Lead for Child and Youth Mental Health, reacts to the report into Child and Adolescent Mental Health Services in North Kerry.",879,Health / HSE
22585876,2026-02-19,Almost half of corporation tax paid by three multinationals - IFAC,"Seamus Coffey, Chair of the IFAC, discusses the very high level of corporation tax paid by just three multinationals.",277,Other
22585877,2026-02-19,8.35am Sports News,Presented by Des Cahill.,389,Sports
22585878,2026-02-19,Farmers employ CCTV and drones in bid to battle organised theft gangs,"Conor McMorrow, Prime Time reporter, highlights the theft of farming vehicles and equipment across Ireland.",339,Crime / Justice
22585879,2026-02-19,"U2 surprise fans with politically charged EP, Days of Ash","Niall Stokes, editor of Hot Press Magazine, reviews U2's surprise EP 'Days of Ash'.",294,Other
22585506,2026-02-18,7.10am It Says In The Papers,Presented by Shane McElhatton,211,It Says in Papers
22585507,2026-02-18,Government plans to introduce age restrictions on social media,"Mícheál Lehane, RTE's Political Correspondent, outlines the government's plan to introduce age restrictions on the use of social media.",349,Politics / Gov
22585508,2026-02-18,More heavy rainfall is on the way for large areas of the country today,"Rebecca Cantwell, Meteorologist at Met Éireann, brings us the latest update as a yellow warning for rain is issued for 17 counties",337,Weather
22585509,2026-02-18,Next Tuesday marks four years since Russia began its full-scale invasion of Ukraine,Liam Nolan speaks to young Ukrainian men who have left the country since the war,309,International
22585510,2026-02-18,7.35am Sports News,Presented by Darren Freehill,306,Sports
22585511,2026-02-18,Has the social media ban in Australia worked?,"Cale Matthews, BTN High reporter with ABC, discusses the implementation of the social media ban on teenagers in Australia",327,Tech / Digital
22585512,2026-02-18,How a social media ban would work in Ireland,"TJ McIntyre, Assistant Professor in Law in the Sutherland School of Law in UCD and chairperson of Digital Rights Ireland, outlines potential issues with a ban on social media for children under 16",380,Tech / Digital
22585513,2026-02-18,7.50am Business News,Presented by Gail Conway,254,Business
22585514,2026-02-18,Weather Forecast,Presented by Rebecca Cantwell,143,Weather
22585515,2026-02-18,8am News Bulletin,Read by Sharon Lynch,313,News Bulletin
22585516,2026-02-18,8.10am It Says In The Paper,Presented by Shane McElhatton,238,It Says in Papers
22585517,2026-02-18,Report into Kerry CAHMs to be released today,"Southern editor Paschal Sheehy speaks to a mother whose daughter prescribed a combination of anti-depressant, anti-psychotic and anti-anxiety medications by Kerry CAHMS",942,Other
22585518,2026-02-18,Met Éireann has issued a yellow warning for rain for 17 counties,"Keith Leonard, National Director of the National Directorate for Fire and Emergency Management, outlines preparations being made to respond to a yellow rain warning for 17 counties.",143,Weather
22585519,2026-02-18,8.35am Sports News,Read by Darren Frehill,397,Sports
22585520,2026-02-18,Limerick's Mayor launches attack on a number of councillors,"Petula Martyn, Mid West Correspondent, reports on Limerick's directly elected mayor accusing some councillors of a deliberate strategy to ensure his term is unsuccessful",334,Crime / Justice
22585521,2026-02-18,Ukrainian Poet Yaryna Chornohuz on how war has influenced her poetry,Peter O'Connell meets Ukrainian poet Yaryna Chornohuz who has been serving on the front line for more than four years since Russia’s full-scale invasion of Ukraine in 2019,331,Arts / Culture
22585522,2026-02-18,Remembering Jesse Jackson,We look back at a memorable visit to Morning Ireland by Jesse Jackson,133,Other
22585105,2026-02-17,7.10am It Says In The Papers,Presented by John S. Doyle.,194,It Says in Papers
22585106,2026-02-17,Trump says he will be involved 'indirectly' in Iran talks,"Negah Angha, Former Senior Advisor at the US Department of State and National Security Council, discusses the latest negotiations between US and Iraniain officials.",499,International
22585107,2026-02-17,100 deaths every week from tobacco products - report,"Dr Paul Kavanagh, Chair of the RCPI Clinical Advisory Group on Smoking and E-Cigarettes, outlines the findings of a new report on reducing the harm of tobacco products.",352,Health / HSE
22585108,2026-02-17,Search for Jo Jo Dullard and Deirdre Jacob to resume,"Alan Bailey, retired Detective Sergeant and former National Co-ordinator of Operation Trace, discusses the latest search for Deirdre Jacob and Jo Jo Dullard who were murdered in the 1990s.",323,Other
22585109,2026-02-17,7.35am Sports News,Presented by Darren Frehill.,242,Sports
22585110,2026-02-17,"""This is a fiasco"" - Dublin Civic Trust on Rotunda plans","Graham Hickey, CEO of Dublin Civic Trust, outlines the reasons why the Trust appealed the decision to grant planning for the proposed development of a new €100 million critical care wing at the Rotunda Hospital in Dublin.",552,Other
22585111,2026-02-17,Irish data watchdog opens investigation into X over Grok images,"Brian O'Donovan, Work and Technology Correspondent, reports on the Data Protection Commission opening an investigation into X over its Grok AI tool generating sexualised images.",146,Tech / Digital
22585112,2026-02-17,7.50am Business News,Presented by Gail Conway.,180,Business
22585113,2026-02-17,Weather Forecast,Presented by Donal Egan.,130,Weather
22585114,2026-02-17,8am News Bulletin,Presented by Éilis Sheehy.,337,News Bulletin
22585115,2026-02-17,8.10am It Says In The Papers,Presented by John S. Doyle.,265,It Says in Papers
22585116,2026-02-17,Latest search for Deirdre Jacob and Jo Jo Dullard to focus on Wicklow quarry,"Stephen Breen, Irish Sun Crime Editor discusses renewed search for Jo Jo Dullard and Deirdre Jacob who were murdered in the 1990s.",283,Other
22585117,2026-02-17,"""I'm very disappointed about the decision"" - Minister on Rotunda planning ruling","Jennifer Carroll MacNeill, Minister for Health and Fine Gael TD for Dún Laoghaire, reacts to the decision by on An Coimisiún Pleanála to overturn planning approval for the proposed development of a new critical care wing at the Rotunda Hospital in Dublin.",748,Politics / Gov
22585118,2026-02-17,8.35am Sports News,Presented by Darren Frehill.,374,Sports
